dataset,backbone,mode,node_drop_rate,accuracy,std,dropped_train_nodes_mean,observed_train_nodes_mean,sampled_recovered_train_nodes_mean,successful_recovered_train_nodes_mean,train_nodes_mean,sparse_edges_mean,added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,num_runs,num_epochs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha,edge_scorer_epochs,edge_scorer_hidden_dim,edge_scorer_prescreen_k
Cora,sage,"Recovered Labels, Hadamard-MLP Edges",0.95,0.746666689713796,0.016539504645796718,127.0,13.0,63.0,63.0,76.0,4755.666666666667,215.66666666666666,0.13270418979655274,0.35978835978835977,3.4232804232804237,0.1836227665965756,0.8144835667529454,0.9981063333495209,50.400553385416664,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,Ours: Recovered Labels + LLM Semantic Edges,0.95,0.7376666863759359,0.01562760632966451,127.0,13.0,63.0,63.0,76.0,4755.666666666667,215.66666666666666,0.14815976645562265,0.38095238095238093,3.4232804232804237,0.014897833345457911,0.8774421000853181,0.892339933430776,50.400553385416664,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,"Recovered Labels, No Edges",0.75,0.7853333552678426,0.014727152685368868,45.0,15.0,22.0,22.0,37.0,44111.0,0.0,0.0,0.0,0.0,0.0,2.2298087666276842,2.2298087666276842,267.4640299479167,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,"Recovered Labels, Random Edges",0.75,0.7936667005221049,0.007039576022618765,45.0,15.0,22.0,22.0,37.0,44111.0,79.66666666666667,0.0,0.0,3.621212121212121,0.02513983325722317,2.2406716333546988,2.265811466611922,267.6173502604167,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,"Recovered Labels, Hadamard-MLP Edges",0.75,0.7873333692550659,0.005906677428011609,45.0,15.0,22.0,22.0,37.0,44111.0,79.66666666666667,0.05174603174603174,0.12121212121212122,3.621212121212121,0.763114400052776,2.2322563332660743,2.9953707333188504,267.6173502604167,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,Ours: Recovered Labels + LLM Semantic Edges,0.75,0.793333371480306,0.00694423009245446,45.0,15.0,22.0,22.0,37.0,44111.0,79.66666666666667,0.08690476190476192,0.25757575757575757,3.621212121212121,0.046776933362707496,2.2405033331985273,2.287280266561235,267.6173502604167,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,"Recovered Labels, No Edges",0.85,0.7443333665529887,0.04028509217871975,51.0,9.0,25.0,25.0,34.0,44087.0,0.0,0.0,0.0,0.0,0.0,2.22783079991738,2.22783079991738,267.41796875,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,"Recovered Labels, Random Edges",0.85,0.7423333724339803,0.017249788556367284,51.0,9.0,25.0,25.0,34.0,44087.0,99.0,0.0,0.0,3.9599999999999995,0.024580233342324693,2.223495800048113,2.2480760333904377,267.6083984375,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,"Recovered Labels, Hadamard-MLP Edges",0.85,0.7480000257492065,0.030626780586641478,51.0,9.0,25.0,25.0,34.0,44087.0,99.0,0.05033793820558527,0.12000000000000001,3.9599999999999995,0.7882279333037635,2.2501819000268974,3.038409833330661,267.6083984375,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,Ours: Recovered Labels + LLM Semantic Edges,0.85,0.7563333511352539,0.029769494800986743,51.0,9.0,25.0,25.0,34.0,44087.0,99.0,0.0539091899386017,0.18666666666666668,3.9599999999999995,0.04460476657065252,2.216226766584441,2.2608315331550934,267.6083984375,3,300,10,0.5,10,0.0,50,128,100
